donor,announcement_date,source_reported_value,reporting_currency,aid_type_general,aid_type_specific,measure,explanation
Austria,24.02.23,3.147.960,EUR,Humanitarian,Consolidation,Allocation,"On the 1st of February 2023, Wiener Zeitung reported that according to the president of Austria, Alexander Van der Bellen, Austria provided 118 EUR million of humanitarian support to Ukraine. (Source of aid 2). An official press release published later by the Austrian embassy to Lithuanian indicated that the total amount of aid slightly increased to 124 EUR million. In Source of Aid 4, the Ministry for European and International Affairs shows that EUR40 million out of the EUR124.6 million to Ukraine are financial aid, which is already reported in ATF1, 3 and 4. The remaining EUR84.6 million for humanitarian aid are close to what we previously captured in our dataset (EUR81.5 million). We add the difference of EUR3.1 million."
Austria,20.03.23,18.000.000,EUR,Humanitarian,Assistance,Allocation,"Austria will provide EUR 77.5 million in humanitarian assistance in its 2023 Foreign Disaster Relief Fund, according to Austrian Foreign Minister Alexander Schallenberg (Source of Aid 1). According to Source of Aid 2, EUR 18 million out of this will go to Ukraine."
Austria,27.05.23,2.000.000,EUR,Humanitarian,Equipment,Allocation,Austria finances demining equipment for Ukraine worth 2 EUR million.
Austria,07.06.23,1.000.000,EUR,Humanitarian,Contribution,Allocation,"According to Source of Aid 1, the Austrian government will provide the International Atomic Energy Agency (IAEA) with EUR 1 million to support nuclear safety activities in Ukraine. According to Source of Aid 4, Austria's support to Ukraine exceeded EUR 150 million, which comes close to our data."
Austria,25.09.23,1.000.000,EUR,Humanitarian,Contribution,Allocation,The Austrian government will provide the International Atomic Energy Agency (IAEA) with additional 1 EUR million to support nuclear safety activities in Ukraine. 
Austria,16.05.24,5.000.000,EUR,Humanitarian,Contribution,Allocation,"In Source 1, the Federal Ministry of Climate Action, Environment, Energy, Mobility, Innovation, and Technology submitted a request to the Council of Ministers to make a support payment of EUR 5 million to the Ukraine Energy Support Fund (UESF). The funds are drawn from the ministry's budget, they are intended for the reconstruction of Ukrainian energy infrastructure damaged by attacks.  Sources 2 and 3 confirm that the Council of Ministers released aid payments totalling five million euros to the UESF and that that allocation will be distributed by the Energy Community. Source 4 is a press release from the Energy Community that confirms a new pledge of EUR 5 million from the Austrian ministry for the UESF."
Austria,15.06.24,6.000.000,EUR,Humanitarian,Assistance,Allocation,"According to Source 1,  the Ministry of Foreign Affairs allocated EUR 10 million to humanitarian relief activities from its Foreign Disaster Fund (AKF). Of this, EUR 6 million is allocated to the Neighbour in Need for emergency relief NGOs, including the provision of drinking water, food, and emergency shelters."
Austria,15.06.24,2.000.000,EUR,Humanitarian,Contribution,Allocation,"According to Source 1,  the Ministry of Foreign Affairs allocated EUR 10 million to humanitarian relief activities from its Foreign Disaster Fund (AKF) Of this, EUR 2 million  is allocated to the International Committee of the Red Cross (ICRC),"
Austria,15.06.24,2.000.000,EUR,Humanitarian,Contribution,Allocation,"According to Source 1, the Ministry of Foreign Affairs allocated EUR 10 million to humanitarian relief activities from its Foreign Disaster Fund (AKF) Of this, EUR 2 million is allocated to the United Nations High Commissioner for Refugees (UNHCR)."
Austria,20.11.24,8.000.000,EUR,Humanitarian,Assistance,Allocation,The Austrian Foreign Ministry has announced EUR 8 million was allocated this week from the Foreign Ministry's Foreign Disaster Fund (FDF).
Austria,13.12.24,170.000,EUR,Humanitarian,Contribution,Allocation,"The Austrian Government announced an extension to the EU Advisory Mission project to project to strengthen the capacities of Ukrainian law enforcement agencies in the liberated territories with an additional support of EUR 170,000. This funding will further enhance the capabilities of key agencies, including the National Police of Ukraine (NPU), State Bureau of Investigation (SBI), Economic Security Bureau (ESBU), State Financial Monitoring Service (SMFSU), Asset Recovery and Management Agency (ARMA), National Anti-Corruption Bureau (NABU), and the Security Service of Ukraine (SSU), enabling them to investigate and prosecute financial and corruption-related crimes more efficiently, using EU best practices."
Austria,07.03.22,10.000.000,EUR,Financial,Grant,Allocation,Austria contributed with 10 million EUR to the multi-donor trust fund (MDTF) set up by the World Bank. Source 4 is the Administration Agreement between the Federal Ministry of Finance of Austria and the International Bank for Reconstruction and Development (World Bank) for this allocation. The agreement was signed on April 5 2022 for the financing of 10 million EUR to the Multi-Donor Trust Fund for Co-financing of the Ukraine Economic Recovery Development Policy Program.
Austria,05.12.22,20.000.000,EUR,Financial,Grant,Allocation,Austria donates 20 million euros to the Ukraine Recovery Trust Fund (URTF).
Austria,09.11.22,10.000.000,EUR,Financial,Grant,Allocation,"As part of the COP27, the world climate conference in the Egyptian seaside resort of Sharm el-Sheik, Austrian Finance Minister Magnus Brunner announced a further 10 EUR million in support for the European Bank for Reconstruction and Development (EBRD) (Source of aid 2.) In March, it was officially on the EBRD page (Source of aid 1), and therefore we include it in our dataset."
Austria,12.10.23,30.000.000,EUR,Financial,Grant,Allocation,"Austria has pledged to invest 30 EUR million to special program for Ukraine and Moldova (SPUR) within the International Development Association (IDA), a branch of the World Bank Group."
Austria,12.10.23,10.000.000,EUR,Financial,Grant,Allocation,"Austria has pledged to invest 10 EUR million is pledged through the Ukraine Relief, Recovery, Reconstruction and Reform Trust Fund (URTF)."
Austria,03.12.24,10.000.000,EUR,Financial,Grant,Allocation,"Austria has allocated a EUR 10 million grant contribution through the World Bank's URTF to back emergency operations in energy and other key sectors, as well as programs that help implement vital reforms."
Belgium,01.03.22,3.400.000,EUR,Humanitarian,Equipment,Allocation,"Belgium announced to send medical ressources amounting to 3.4 million EUR. The aid falls within the framework of the EU Civil Protection Mechanism (UCPM). The package includes on top of the items listed to the right also anaesthetics, muscle relaxants and painkillers. "
Belgium,01.03.22,3.400.000,EUR,Humanitarian,Equipment,Allocation,"Belgium announced to send medical ressources amounting to 3.4 million EUR. The aid falls within the framework of the EU Civil Protection Mechanism (UCPM). The package includes on top of the items listed to the right also anaesthetics, muscle relaxants and painkillers. "
Belgium,01.03.22,3.400.000,EUR,Humanitarian,Equipment,Allocation,"Belgium announced to send medical ressources amounting to 3.4 million EUR. The aid falls within the framework of the EU Civil Protection Mechanism (UCPM). The package includes on top of the items listed to the right also anaesthetics, muscle relaxants and painkillers. "
Belgium,02.03.22,230.000,EUR,Humanitarian,Equipment,Allocation,"Emergency shelter material adapted to cold climate conditions, such as tents, blankets and sanitary kits. The aid falls within the framework of the EU Civil Protection Mechanism (UCPM). "
Belgium,09.04.22,60.600.000,EUR,Humanitarian,Assistance,Commitment,"On April 9, during the event ""Stand Up for Ukraine"", the Belgian Prime Minister announced that Belgium had set up a fund of 800 million EUR to support Ukraine and Ukrainian refugees. Since only 83 million EUR will be sent to Ukraine (see ""Sorce of Aid 2""), we previously reported this amount. On January 2023, the Belgian foreign ministry's official press release stated that 77 million EUR were spent on civilian assistance in 2022 (Source of aid 3). Thus, we assume that the initial 83 million EUR was a reserved budget for aid to Ukraine, and the Belgian government spent 77 million EUR from this value. Moreover, among the 77 million EUR listed, 10 million EUR were spent to help export grain and 6.4 million EUR to different human rights protection organizations, which we do not count. Therefore, in 2022 total humanitarian aid provided by Belgium to Ukraine is 60.6 million EUR. "
Belgium,15.07.22,800.000,EUR,Humanitarian,Equipment,Allocation,"The Belgian Government approved the shipment of medical equipment, basic supplies and medicines. which will be carried by 11 trucks. The total cost of the aid amounts to 800000 EUR. "
Belgium,19.01.23,600.000,EUR,Humanitarian,Equipment,Allocation,"Belgium will send 3,000 tons of salt to Ukraine to deice public roads in the current winter conditions. This aid shipment represents a total value of 600 EUR million, including transport costs. "
Belgium,12.05.23,14.000.000,EUR,Humanitarian,Contribution,Allocation,"The Federal Government approved a new package of support measures for Ukraine worth 92 EUR million on Friday, Prime Minister Alexander De Croo’s office announced. Humanitarian aid worth 24 EUR million will be allocated out of 92 EUR million. Later it was specified that 7 EUR million would go to the UN Humanitarian Fund for Ukraine (OCHA) via the Directorate-General for Development Cooperation (Source of aid 3). Also, a more recent publication stated that 24 EUR million would go mainly to international aid agencies, which are already present on the ground, such as the UN humanitarian crisis agency (OCHA), the World Food Program (WFP), UNICEF, the UN refugee agency (UNHCR) and the International Organization for Migration (IOM) (Source of aid 4). Therefore, we split this donation into three entries: 14 million for UNICEF, 7 million for OCHA, and the rest for WFP, IOM, and UNHCR. "
Belgium,12.05.23,7.000.000,EUR,Humanitarian,Contribution,Allocation,"The Federal Government approved a new package of support measures for Ukraine worth 92 EUR million on Friday, Prime Minister Alexander De Croo’s office announced. Humanitarian aid worth 24 EUR million will be allocated out of 92 EUR million. Later it was specified that 7 EUR million would go to the UN Humanitarian Fund for Ukraine (OCHA) via the Directorate-General for Development Cooperation (Source of aid 3). Also, a more recent publication stated that 24 EUR million would go mainly to international aid agencies, which are already present on the ground, such as the UN humanitarian crisis agency (OCHA), the World Food Program (WFP), UNICEF, the UN refugee agency (UNHCR) and the International Organization for Migration (IOM) (Source of aid 4). Therefore, we split this donation into three entries: 14 million for UNICEF(BEH6) , 7 million for OCHA (BEH7), and the rest for WFP, IOM, and UNHCR (BEH8). "
Belgium,12.05.23,3.000.000,EUR,Humanitarian,Contribution,Allocation,"The Federal Government approved a new package of support measures for Ukraine worth 92 EUR million on Friday, Prime Minister Alexander De Croo’s office announced. Humanitarian aid worth 24 EUR million will be allocated out of 92 EUR million. Later it was specified that 7 EUR million would go to the UN Humanitarian Fund for Ukraine (OCHA) via the Directorate-General for Development Cooperation (Source of aid 3). Also, a more recent publication stated that 24 EUR million would go mainly to international aid agencies, which are already present on the ground, such as the UN humanitarian crisis agency (OCHA), the World Food Program (WFP), UNICEF, the UN refugee agency (UNHCR) and the International Organization for Migration (IOM) (Source of aid 4). Therefore, we split this donation into three entries: 14 million for UNICEF, 7 million for OCHA, and the rest for WFP, IOM, and UNHCR. "
Belgium,09.06.23,1.850.000,EUR,Humanitarian,Equipment,Allocation,"To help the people affected by the floods, B-FAST is providing emergency aid, in the form of shelter equipment (tents, mattresses, sleeping bags, jerry cans, hygiene kits). All these relief items are transported by B-FAST under European coordination. The value of this donation is 350,000 EUR. Also on the basis of an official request received via the European coordination mechanism, B-FAST has been tasked with purchasing generators worth 1.5 EUR million in consultation with the Minister for Energy, Tinne Van der Straeten. These funds will enable B-FAST to send generators to deal with the many difficulties encountered in the areas affected by the floods. Therefore, the total aid provided via B-FAST, in this case, is around 1.85 EU million. "
Belgium,09.06.23,1.600.000,EUR,Humanitarian,Equipment,Allocation,"FPS Health will provide medical equipment worth 1.6 EUR million (medication, medical products, drinking water storage tanks) following the Nova Kachovka dam burst and flooding in Ukraine. "
Belgium,16.06.23,600.000,EUR,Humanitarian,Contribution,Allocation,"A new contribution of 600,000 EUR was provided by Belgium to the United Nations ""Women's Peace and Humanitarian Fund"" (WPHF), a partnership between the UN and civil society to promote women's rights worldwide in Ukraine and Moldova. Since we do not know the exact share that goes to Ukraine, we report it here entirely."
Belgium,16.06.23,1.000.000,EUR,Humanitarian,Contribution,Allocation,Belgium will support The International Atomic Energy Agency (IAEA) activities in Ukraine with a contribution of 1 EUR million in regard to nuclear security. 
Belgium,27.06.23,11.260.000,EUR,Humanitarian,Consolidation,Allocation,"In the overview page published by the Belgian government on June 27th, they reported 133.5 EUR million of civilian assistance in total (Humanitarian, RESILIENCE AND REBUILDING, Human rights, and battle against impunity). Earlier in February, among this aid, they also listed spending for Grain for Ukraine project, which we do not count. Therefore, total civilian aid provided so far is around 123.5 EUR. Our dataset records around 112.24 EUR million of civilian aid (humanitarian and financial aid) provided by Belgium so far. Therefore, we report the rest in this entry. Even though this entry says approximately 11.26 EUR million, which is the same as a donation for UNICEF, we do not include it here since it was reported under 24 EUR million donated previously (see Source of aid 4 of BEH6). "
Belgium,27.11.23,2.500.000,EUR,Humanitarian,Contribution,Allocation,Belgium contributes a EUR 2.5 million grant to the Ukraine Energy Support Fund (UESF) by the Energy Community to install solar panels on hospitals.
Belgium,19.12.23,2.000.000,EUR,Humanitarian,Contribution,Allocation,Belgium contributes a further EUR 2 million to the IAEA to support its activities.
Belgium,15.12.23,60.200.000,EUR,Humanitarian,Budgetary appropriations,Commitment,"Belgium is setting up a EUR 1.760 billion Ukraine fund financed by frozen Russian assets in the country. Part of the EUR 1.505bn is earmarked for 2024 and EUR 225m for 2025. As the Belgian authorities have not disclosed how exactly the fund will be divided between military, financial and humanitarian aid, we assume that it will follow the distribution set in previous years."
Belgium,29.03.24,7.000.000,EUR,Humanitarian,Contribution,Allocation,"According to Source 1, the Council of Ministers released 7 million euros in commitment and liquidation credits for 2024, in favor of the to the “Humanitarian Fund” in Ukraine (UHF) managed by OCHA (“United Nations Office for the Coordination of Humanitarian Affairs”). This is an allocation of the commitment made with the announcement of the 'Ukraine Fund' in BEH 16."
Belgium,30.03.24,8.000.000,EUR,Humanitarian,Contribution,Allocation,"According to Source 1, the Council of Ministers grants 8 million euros in commitment and liquidation credits to the International Committee of the Cross (ICRC) for financing its activities in Ukraine. This is an allocation of the commitment made with the announcement of the 'Ukraine Fund' in BEH 16."
Belgium,26.04.24,9.000.000,EUR,Humanitarian,Reconstruction,Allocation,"According to Source 1, the Council of Ministers agreed on 26 April 2024 to allocate EUR  9 million to the United Nations Development Program (UNDP) for critical energy infrastructure, and 6 million euros for a medical rehabilitation project in Ukraine. In Source 2, the Development Cooperation minister confirmed the release of EUR 9 million to the UNDP, which are intended to restore energy infrastructure around the city of Kharkiv. Source 3 is the Council of Minister decision of 21 May 2024 approving the allocation of EUR 9 million to the UNDP «Green Energy Recovery Programme » (2024-2029). These funds were drawn from the humanitarian aid commited from the Ukraine Fund for 2024. Accordingly, we report  an allocation of EUR 9 million under the commitment recorded in BEH 16."
Belgium,17.05.24,6.000.000,EUR,Humanitarian,Contribution,Allocation,"According to Source 1, the Council of Ministers decided allocated EUR  9 million to the United Nations Development Program (UNDP) for critical energy infrastructure, and 6 million euros for a medical rehabilitation project in Ukraine. Sources 2 and 3 are decisions by the Council of Ministers on 17 May 2024 approving the allocation of two tranches of EUR 3 million in credits from the Ukraine Fund to finance to the Medical Rehabilitation Trust Fund, administered by the NATO Comprehensive Assistance Package (CAP) for Ukraine.  These funds were drawn from the humanitarian aid commited from the Ukraine Fund for 2024. Accordingly, we report here an allocation of EUR 6 million to  NATO CAP under the commitment recorded in BEH 16."
Belgium,17.05.24,2.000.000,EUR,Humanitarian,Contribution,Allocation,"According to Source 1, another package of humanitarian aid was approved by the Council of Ministers on 17 May 2024. This package consists of an allocation of EUR 2 million for humanitarian demining activities conducted by the UNDP and FAO. Source 2 is a Council of Ministers Decision on 17 May 2024 which confirms the allocation of EUR 2 million in credits from the Ukraine Fund to a UNDP/FAO joint initiative for humanitarian action against mines in Ukraine. Accordingly, we report here an allocation of EUR 6 million to UNDP/FAO under the commitment recorded in BEH 16."
Belgium,11.07.24,1.000.000,EUR,Humanitarian,Contribution,Allocation,"According to Source 1, the United Nations Development Programme (UNDP) in Ukraine has signed a financing agreement worth EUR 1 million with the Government of Belgium for the implementation of the UNDP’s Mine Action Project in Ukraine, running until 31 December 2025"
Belgium,17.07.24,150.000.000,EUR,Humanitarian,Assistance,Allocation,"According to Source 1, an agreement on technical and financial cooperation was signed during an online meeting between Prime Minister of Ukraine Denys Shmyhal and Prime Minister of Belgium Alexander De Croo on July 17, 2024. The source 2 detailed that the agreement includes 150 million euro aid package for Ukraine for the next four years, aimed at financing reconstruction projects. Source of Aid 3 is the original Belgian council of ministers approval of the project, indicating the structure of the initiative, and assigning it to the Belgian development agency ENABEL to carry out."
Belgium,31.07.24,9.000.000,EUR,Humanitarian,Contribution,Allocation,"On July 31, 2024, the UNDP in Ukraine announced financing agreements totalling EUR 9 million with the Government of Belgium to support the UNDP Green Energy Recovery Programme in Ukraine, which aims to address the urgent energy needs arising from the ongoing crisis."
Belgium,29.12.24,200.000,EUR,Humanitarian,Assistance,Allocation,"Flemish minister-president Matthias Diependaele announced the donation of 200,000 EUR to the Ukrainian Red Cross in a statement on Sunday morning. The funds will be used for awareness-raising and training sessions on the risks associated with unexploded devices such as mines and other war material. Red Cross Flanders is working with the German Red Cross (GRC) to support the Ukrainian Red Cross (URCS) in these efforts."
Belgium,15.12.23,10.200.000,EUR,Humanitarian,Budgetary appropriations,Commitment,"Belgium is setting up a EUR 1.760 billion Ukraine fund financed by frozen Russian assets in the country. Part of the EUR 1.505bn is earmarked for 2024 and EUR 225m for 2025. As the Belgian authorities have not disclosed how exactly the fund will be divided between military, financial and humanitarian aid, we assume that it will follow the distribution set in previous years."
Belgium,26.02.22,76.000.000,EUR,Military,Weapons,Allocation,"Both lethal and non-lethal military aid estimated to be worth around EUR76 million (Source of Aid 1). This is part of total aid until April 22. Donation ID BEM2 presents a seperate package due to credible official information, that the EUR76 million do not contain the packages from March 22 and April 11. The Belgium government disclosed further details on the content of the packages in January 2023 (Source of aid 1)."
Belgium,26.02.22,76.000.000,EUR,Military,Equipment,Allocation,"Both lethal and non-lethal military aid estimated to be worth around EUR76 million (Source of Aid 1). This is part of total aid until April 22. Donation ID BEM2 presents a seperate package due to credible official information, that the EUR76 million do not contain the packages from March 22 and April 11. The Belgium government disclosed further details on the content of the packages in January 2023 (Source of aid 1)."
Belgium,26.02.22,76.000.000,EUR,Military,Weapons,Allocation,"Both lethal and non-lethal military aid estimated to be worth around EUR76 million (Source of Aid 1). This is part of total aid until April 22. Donation ID BEM2 presents a seperate package due to credible official information, that the EUR76 million do not contain the packages from March 22 and April 11. The Belgium government disclosed further details on the content of the packages in January 2023 (Source of aid 1)."
Belgium,26.02.22,76.000.000,EUR,Military,Weapons,Allocation,"Both lethal and non-lethal military aid estimated to be worth around EUR76 million (Source of Aid 1). This is part of total aid until April 22. Donation ID BEM2 presents a seperate package due to credible official information, that the EUR76 million do not contain the packages from March 22 and April 11. The Belgium government disclosed further details on the content of the packages in January 2023 (Source of aid 1)."
Belgium,26.02.22,76.000.000,EUR,Military,Equipment,Allocation,"Both lethal and non-lethal military aid estimated to be worth around EUR76 million (Source of Aid 1). This is part of total aid until April 22. Donation ID BEM2 presents a seperate package due to credible official information, that the EUR76 million do not contain the packages from March 22 and April 11. The Belgium government disclosed further details on the content of the packages in January 2023 (Source of aid 1)."
Belgium,26.02.22,76.000.000,EUR,Military,Equipment,Allocation,"Both lethal and non-lethal military aid estimated to be worth around EUR76 million (Source of Aid 1). This is part of total aid until April 22. Donation ID BEM2 presents a seperate package due to credible official information, that the EUR76 million do not contain the packages from March 22 and April 11. The Belgium government disclosed further details on the content of the packages in January 2023 (Source of aid 1)."
Belgium,26.02.22,76.000.000,EUR,Military,Equipment,Allocation,"Both lethal and non-lethal military aid estimated to be worth around EUR76 million (Source of Aid 1). This is part of total aid until April 22. Donation ID BEM2 presents a seperate package due to credible official information, that the EUR76 million do not contain the packages from March 22 and April 11. The Belgium government disclosed further details on the content of the packages in January 2023 (Source of aid 1)."
Belgium,26.02.22,76.000.000,EUR,Military,Equipment,Allocation,"Both lethal and non-lethal military aid estimated to be worth around EUR76 million (Source of Aid 1). This is part of total aid until April 22. Donation ID BEM2 presents a seperate package due to credible official information, that the EUR76 million do not contain the packages from March 22 and April 11. The Belgium government disclosed further details on the content of the packages in January 2023 (Source of aid 1)."
Belgium,22.03.22,11.000.000,EUR,Military,Equipment,Allocation,"Lethal and non-lethal weapons amounting to 11 million EUR that were announced March 22 and April 4. This is not part of total aid until April 22 that is estimated by the Prime Minister to be 76 million EUR (""Source of Aid 2""). The package contains field beds, generators, heating systems, light weapons and ammunition, as well as ballistitc protection and night vision systems. The Belgium government disclosed further details on the content of the packages in January 2023 (Source of aid 1)."
Belgium,22.03.22,11.000.000,EUR,Military,Equipment,Allocation,"Lethal and non-lethal weapons amounting to 11 million EUR that were announced March 22 and April 4. This is not part of total aid until April 22 that is estimated by the Prime Minister to be 76 million EUR (""Source of Aid 2""). The package contains field beds, generators, heating systems, light weapons and ammunition, as well as ballistitc protection and night vision systems. The Belgium government disclosed further details on the content of the packages in January 2023 (Source of aid 1)."
Belgium,22.03.22,11.000.000,EUR,Military,Weapons,Allocation,"Lethal and non-lethal weapons amounting to 11 million EUR that were announced March 22 and April 4. This is not part of total aid until April 22 that is estimated by the Prime Minister to be 76 million EUR (""Source of Aid 2""). The package contains field beds, generators, heating systems, light weapons and ammunition, as well as ballistitc protection and night vision systems. The Belgium government disclosed further details on the content of the packages in January 2023 (Source of aid 1)."
Belgium,22.03.22,11.000.000,EUR,Military,Weapons,Allocation,"Lethal and non-lethal weapons amounting to 11 million EUR that were announced March 22 and April 4. This is not part of total aid until April 22 that is estimated by the Prime Minister to be 76 million EUR (""Source of Aid 2""). The package contains field beds, generators, heating systems, light weapons and ammunition, as well as ballistitc protection and night vision systems. The Belgium government disclosed further details on the content of the packages in January 2023 (Source of aid 1)."
Belgium,22.03.22,11.000.000,EUR,Military,Equipment,Allocation,"Lethal and non-lethal weapons amounting to 11 million EUR that were announced March 22 and April 4. This is not part of total aid until April 22 that is estimated by the Prime Minister to be 76 million EUR (""Source of Aid 2""). The package contains field beds, generators, heating systems, light weapons and ammunition, as well as ballistitc protection and night vision systems. The Belgium government disclosed further details on the content of the packages in January 2023 (Source of aid 1)."
Belgium,22.03.22,11.000.000,EUR,Military,Equipment,Allocation,"Lethal and non-lethal weapons amounting to 11 million EUR that were announced March 22 and April 4. This is not part of total aid until April 22 that is estimated by the Prime Minister to be 76 million EUR (""Source of Aid 2""). The package contains field beds, generators, heating systems, light weapons and ammunition, as well as ballistitc protection and night vision systems. The Belgium government disclosed further details on the content of the packages in January 2023 (Source of aid 1)."
Belgium,22.03.22,11.000.000,EUR,Military,Equipment,Allocation,"Lethal and non-lethal weapons amounting to 11 million EUR that were announced March 22 and April 4. This is not part of total aid until April 22 that is estimated by the Prime Minister to be 76 million EUR (""Source of Aid 2""). The package contains field beds, generators, heating systems, light weapons and ammunition, as well as ballistitc protection and night vision systems. The Belgium government disclosed further details on the content of the packages in January 2023 (Source of aid 1)."
Belgium,06.05.22,2.646.400,EUR,Military,Weapons,Allocation,"The Belgium government disclosed further details on the content of the packages delivered to Ukraine for the first year of war in January 2023 (Source of aid 1). Here, we report military aid omitted from other packages with official announcements."
Belgium,06.05.22,2.646.400,EUR,Military,Equipment,Allocation,"The Belgium government disclosed further details on the content of the packages delivered to Ukraine for the first year of war in January 2023 (Source of aid 1). Here, we report military aid omitted from other packages with official announcements."
Belgium,15.07.22,10.639.008,EUR,Military,Weapons,Allocation,"The Belgium government disclosed further details on the content of the packages delivered to Ukraine for the first year of war in January 2023 (Source of aid 1). Here, we report military aid omitted from other packages with official announcements."
Belgium,15.07.22,10.639.008,EUR,Military,Equipment,Allocation,"The Belgium government disclosed further details on the content of the packages delivered to Ukraine for the first year of war in January 2023 (Source of aid 1). Here, we report military aid omitted from other packages with official announcements."
Belgium,25.08.22,8.000.000,EUR,Military,Funding for Weapon Acquisition Program,Allocation,"8 million EUR in support to the Ukrainian armed forces through NATO Comprehensive Assistance Package (CAP) Trust Fund, which provides non-lethal support  to Ukraine. Source 1 specifies that Belgian companies are invited to participate in the public tender process for this procurement."
Belgium,25.08.22,8.000.000,EUR,Military,Funding for Weapon Acquisition Program,Allocation,"8 million EUR in support to the Ukrainian armed forces through NATO Comprehensive Assistance Package (CAP) Trust Fund, which provides non-lethal support  to Ukraine. Source 1 specifies that Belgian companies are invited to participate in the public tender process for this procurement."
Belgium,25.08.22,8.000.000,EUR,Military,Funding for Weapon Acquisition Program,Allocation,"8 million EUR in support to the Ukrainian armed forces through NATO Comprehensive Assistance Package (CAP) Trust Fund, which provides non-lethal support  to Ukraine. Source 1 specifies that Belgian companies are invited to participate in the public tender process for this procurement."
